fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
0,bus,0.94,tensor(1.),1402,52,1918,476,"£
",0.12,499,357,515,378,"£
"
0,car,0.85,tensor(2.),1321,312,1398,371,,0,0,0,0,0,
1,bus,0.94,tensor(1.),1402,57,1918,470,,0,0,0,0,0,
1,car,0.82,tensor(2.),1321,312,1396,371,,0,0,0,0,0,
2,bus,0.94,tensor(1.),1393,65,1918,466,,0.86,474,341,525,362,
2,car,0.82,tensor(2.),1320,312,1395,371,,0,0,0,0,0,
3,bus,0.9,tensor(1.),1388,67,1918,467,,0.53,462,337,530,362,
3,car,0.84,tensor(2.),1317,311,1395,371,,0,0,0,0,0,
4,bus,0.93,tensor(1.),1392,73,1918,464,,0.41,443,330,516,352,
4,car,0.82,tensor(2.),1316,312,1394,371,,0,0,0,0,0,
5,bus,0.94,tensor(1.),1394,76,1918,461,,0.24,426,324,492,348,
5,car,0.81,tensor(2.),1317,312,1391,370,,0,0,0,0,0,
6,bus,0.94,tensor(1.),1391,79,1918,461,,0.77,415,321,481,342,
6,car,0.8,tensor(2.),1316,312,1390,370,,0,0,0,0,0,
7,bus,0.94,tensor(1.),1388,84,1918,458,,0.7,405,315,472,336,
7,car,0.79,tensor(2.),1314,312,1389,369,,0,0,0,0,0,
8,bus,0.94,tensor(1.),1385,88,1918,457,,0.37,395,309,458,330,
8,car,0.79,tensor(2.),1313,312,1387,368,,0,0,0,0,0,
9,bus,0.95,tensor(1.),1383,92,1918,457,,0.73,384,303,444,324,
9,car,0.81,tensor(2.),1311,312,1386,368,,0,0,0,0,0,
10,bus,0.94,tensor(1.),1382,95,1918,456,,0.86,373,300,434,319,
10,car,0.81,tensor(2.),1309,312,1386,368,,0,0,0,0,0,
11,bus,0.93,tensor(1.),1383,96,1918,456,,0.85,362,298,421,317,
11,car,0.79,tensor(2.),1309,312,1384,368,,0,0,0,0,0,
12,bus,0.94,tensor(1.),1382,101,1914,452,,0.79,351,291,413,312,
12,car,0.79,tensor(2.),1309,312,1382,368,,0,0,0,0,0,
13,bus,0.93,tensor(1.),1382,104,1896,451,,0.79,340,288,400,306,
13,car,0.8,tensor(2.),1309,312,1380,368,,0,0,0,0,0,
14,bus,0.92,tensor(1.),1380,107,1883,451,,0.75,331,284,391,302,
14,car,0.78,tensor(2.),1309,312,1378,368,,0,0,0,0,0,
15,bus,0.93,tensor(1.),1377,111,1865,450,,0.77,326,278,381,296,
15,car,0.78,tensor(2.),1309,313,1375,367,,0,0,0,0,0,
