epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18818,1.61037,4.68257,1.52519,0.00271,0.68421,0.03959,0.0167,1.10234,3.72898,1.00493,0.0002,0.0002,0.0002
2,12.4173,1.20575,2.87696,1.12012,0.00375,0.94737,0.14168,0.0598,1.34513,3.77285,1.1468,0.000409605,0.000409605,0.000409605
3,17.203,1.22913,2.31121,1.14726,0.00396,1,0.18426,0.06913,1.18605,3.75339,1.14895,0.00060832,0.00060832,0.00060832
4,22.079,1.07728,1.9866,1.04346,0.00375,0.94737,0.00954,0.00498,1.2621,3.72599,1.14805,0.000796145,0.000796145,0.000796145
5,26.7465,1.16792,1.89324,1.08397,0.00375,0.94737,0.0065,0.00377,1.14157,3.66704,1.07591,0.00097308,0.00097308,0.00097308
6,31.1682,1.15221,1.85867,1.09589,0.00375,0.94737,0.45635,0.32441,1.07412,3.33069,1.07032,0.00113912,0.00113912,0.00113912
7,35.8032,1.08047,1.79912,1.07837,0.12054,0.15789,0.15328,0.08454,1.26966,3.32548,1.09637,0.00129428,0.00129428,0.00129428
8,40.332,1.08542,1.58743,1.06359,0.41047,0.36656,0.43845,0.28135,1.26985,2.90232,1.07704,0.00143855,0.00143855,0.00143855
9,44.6037,1.04784,1.49139,1.06553,0.21624,0.57895,0.18741,0.0982,1.31312,3.03887,1.13031,0.00157192,0.00157192,0.00157192
10,49.1502,1.03826,1.38544,1.02385,0.6958,0.57895,0.69786,0.44197,1.22303,2.549,1.11475,0.0015545,0.0015545,0.0015545
11,53.5961,1.03244,1.40424,1.06192,0.66159,0.82365,0.75192,0.41974,1.35486,2.34389,1.19564,0.001505,0.001505,0.001505
12,57.8414,0.98817,1.31293,1.03947,0.0782,0.84211,0.07574,0.04957,1.2044,8.6627,1.05633,0.0014555,0.0014555,0.0014555
13,62.1456,0.93722,1.23504,0.99,0.20551,0.68421,0.18443,0.12544,1.18161,4.84484,1.08387,0.001406,0.001406,0.001406
