epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4653,1.56044,5.03333,1.53995,0.00333,0.84211,0.5385,0.28635,1.1628,3.67878,1.03486,0.0002,0.0002,0.0002
2,42.4554,1.17643,3.22647,0.99876,0.00354,0.89474,0.56658,0.16392,1.30413,3.69167,1.08665,0.00037842,0.00037842,0.00037842
3,47.0879,1.11414,2.49649,1.02189,0.00375,0.94737,0.3927,0.19417,1.14008,3.66821,1.02597,0.00051328,0.00051328,0.00051328
4,51.717,1.07322,2.32078,0.99714,0.00375,0.94737,0.07094,0.04519,1.07777,3.71516,1.0309,0.00060458,0.00060458,0.00060458
5,56.2893,0.99075,2.11111,0.9754,0.00375,0.94737,0.05293,0.02925,0.99177,3.51169,1.01308,0.00065232,0.00065232,0.00065232
6,60.7262,0.94006,1.95586,0.96504,0.70171,0.31579,0.47102,0.29684,1.22757,3.2876,1.00022,0.0006565,0.0006565,0.0006565
7,65.2158,0.99976,1.96349,0.94886,0.47641,0.31579,0.4167,0.28069,1.14112,3.05089,0.92846,0.00061712,0.00061712,0.00061712
8,69.4541,0.90327,1.78448,0.91697,0.91207,0.547,0.7265,0.46626,1.13728,2.60157,0.93431,0.00053418,0.00053418,0.00053418
9,73.6242,0.85616,1.69792,0.90146,0.7089,0.76962,0.82954,0.57098,1.12357,2.4006,0.92765,0.00040768,0.00040768,0.00040768
10,78.1322,0.82652,1.64393,0.90212,0.87564,0.89474,0.89393,0.61354,0.99426,2.05525,0.89374,0.000218,0.000218,0.000218
